account_id,english_name,year,month,date,monthly_value
0984P,Technicians,2025,1,2025-01-01,0.0
0984P,Technicians,2025,2,2025-02-01,0.0
0984P,Technicians,2025,3,2025-03-01,0.0
0985P,Apprentices,2025,1,2025-01-01,0.0
0985P,Apprentices,2025,2,2025-02-01,0.0
0985P,Apprentices,2025,3,2025-03-01,0.0
0986P,Clerical / Other,2025,1,2025-01-01,0.0
0986P,Clerical / Other,2025,2,2025-02-01,0.0
0986P,Clerical / Other,2025,3,2025-03-01,0.0
0988P,Owner(s),2025,1,2025-01-01,0.0
0988P,Owner(s),2025,2,2025-02-01,0.0
0988P,Owner(s),2025,3,2025-03-01,0.0
0989P,Manager(s),2025,1,2025-01-01,0.0
0989P,Manager(s),2025,2,2025-02-01,0.0
0989P,Manager(s),2025,3,2025-03-01,0.0
0991P,Advisors,2025,1,2025-01-01,0.0
0991P,Advisors,2025,2,2025-02-01,0.0
0991P,Advisors,2025,3,2025-03-01,0.0
0992P,Technicians,2025,1,2025-01-01,0.0
0992P,Technicians,2025,2,2025-02-01,0.0
0992P,Technicians,2025,3,2025-03-01,0.0
0993P,Apprentices,2025,1,2025-01-01,0.0
0993P,Apprentices,2025,2,2025-02-01,0.0
0993P,Apprentices,2025,3,2025-03-01,0.0
0994P,Clerical / Other,2025,1,2025-01-01,0.0
0994P,Clerical / Other,2025,2,2025-02-01,0.0
0994P,Clerical / Other,2025,3,2025-03-01,0.0
10000AD,SUB-TOTAL SELLING EXPENSES (LINES 5 THRU 15),2025,1,2025-01-01,22409.5
10000AD,SUB-TOTAL SELLING EXPENSES (LINES 5 THRU 15),2025,2,2025-02-01,22211.25
10000AD,SUB-TOTAL SELLING EXPENSES (LINES 5 THRU 15),2025,3,2025-03-01,22013.0
10000BD,SUB-TOTAL SELLING EXPENSES (LINES 5 THRU 15),2025,1,2025-01-01,36550.75
10000BD,SUB-TOTAL SELLING EXPENSES (LINES 5 THRU 15),2025,2,2025-02-01,39279.16666666667
10000BD,SUB-TOTAL SELLING EXPENSES (LINES 5 THRU 15),2025,3,2025-03-01,42007.583333333336
10000D,"SUB-TOTAL SELLING EXPENSES (LINES 5
THRU 15)",2025,1,2025-01-01,58960.25
10000D,"SUB-TOTAL SELLING EXPENSES (LINES 5
THRU 15)",2025,2,2025-02-01,61490.41666666667
10000D,"SUB-TOTAL SELLING EXPENSES (LINES 5
THRU 15)",2025,3,2025-03-01,64020.583333333336
10011002D,Petty Cash Fund / Cash On Hand,2025,1,2025-01-01,700.0
10011002D,Petty Cash Fund / Cash On Hand,2025,2,2025-02-01,700.0
10011002D,Petty Cash Fund / Cash On Hand,2025,3,2025-03-01,700.0
1004D,Cash in Bank - Trust Account(s),2025,1,2025-01-01,0.0
1004D,Cash in Bank - Trust Account(s),2025,2,2025-02-01,0.0
1004D,Cash in Bank - Trust Account(s),2025,3,2025-03-01,0.0
1010D,Cash in Bank,2025,1,2025-01-01,-325517.75
1010D,Cash in Bank,2025,2,2025-02-01,-371116.5
1010D,Cash in Bank,2025,3,2025-03-01,-416715.25
1020D,Contracts in Transit,2025,1,2025-01-01,557842.3333333334
1020D,Contracts in Transit,2025,2,2025-02-01,538616.0833333334
1020D,Contracts in Transit,2025,3,2025-03-01,519389.8333333334
1030D,Securities,2025,1,2025-01-01,0.0
1030D,Securities,2025,2,2025-02-01,0.0
1030D,Securities,2025,3,2025-03-01,0.0
1100AD,Vehicle Accounts - Customers,2025,1,2025-01-01,154009.75
1100AD,Vehicle Accounts - Customers,2025,2,2025-02-01,145899.0833333333
1100AD,Vehicle Accounts - Customers,2025,3,2025-03-01,137788.41666666666
1100BD,Vehicle Accounts - Customers,2025,1,2025-01-01,154009.75
1100BD,Vehicle Accounts - Customers,2025,2,2025-02-01,145899.0833333333
1100BD,Vehicle Accounts - Customers,2025,3,2025-03-01,137788.41666666666
1100CD,Vehicle Accounts - Customers,2025,1,2025-01-01,0.0
1100CD,Vehicle Accounts - Customers,2025,2,2025-02-01,0.0
1100CD,Vehicle Accounts - Customers,2025,3,2025-03-01,0.0
1100D,Vehicle Accounts - Customers,2025,1,2025-01-01,154009.91666666666
1100D,Vehicle Accounts - Customers,2025,2,2025-02-01,145899.33333333334
1100D,Vehicle Accounts - Customers,2025,3,2025-03-01,137788.75
1100DD,Vehicle Accounts - Customers,2025,1,2025-01-01,0.0
1100DD,Vehicle Accounts - Customers,2025,2,2025-02-01,0.0
1100DD,Vehicle Accounts - Customers,2025,3,2025-03-01,0.0
1100DOT,OVER 30 Day,2025,1,2025-01-01,0.0
1100DOT,OVER 30 Day,2025,2,2025-02-01,0.0
1100DOT,OVER 30 Day,2025,3,2025-03-01,0.0
1100ED,Vehicle Accounts - Customers,2025,1,2025-01-01,0.0
1100ED,Vehicle Accounts - Customers,2025,2,2025-02-01,0.0
1100ED,Vehicle Accounts - Customers,2025,3,2025-03-01,0.0
1100FD,Vehicle Accounts - Customers,2025,1,2025-01-01,0.0
1100FD,Vehicle Accounts - Customers,2025,2,2025-02-01,0.0
1100FD,Vehicle Accounts - Customers,2025,3,2025-03-01,0.0
1130AD,Finance / Insurance Income Rec. - Current,2025,1,2025-01-01,1930.666666666667
1130AD,Finance / Insurance Income Rec. - Current,2025,2,2025-02-01,1347.2500000000002
1130AD,Finance / Insurance Income Rec. - Current,2025,3,2025-03-01,763.8333333333335
1130BD,Finance / Insurance Income Rec. - Current,2025,1,2025-01-01,1930.666666666667
1130BD,Finance / Insurance Income Rec. - Current,2025,2,2025-02-01,1347.2500000000002
1130BD,Finance / Insurance Income Rec. - Current,2025,3,2025-03-01,763.8333333333335
1130CD,Finance / Insurance Income Rec. - Current,2025,1,2025-01-01,0.0
1130CD,Finance / Insurance Income Rec. - Current,2025,2,2025-02-01,0.0
1130CD,Finance / Insurance Income Rec. - Current,2025,3,2025-03-01,0.0
1130D,Finance / Insurance Income Rec. - Current,2025,1,2025-01-01,1930.666666666667
1130D,Finance / Insurance Income Rec. - Current,2025,2,2025-02-01,1347.2500000000002
1130D,Finance / Insurance Income Rec. - Current,2025,3,2025-03-01,763.8333333333335
1130DD,Finance / Insurance / Service Contracts,2025,1,2025-01-01,0.0
1130DD,Finance / Insurance / Service Contracts,2025,2,2025-02-01,0.0
1130DD,Finance / Insurance / Service Contracts,2025,3,2025-03-01,0.0
1130ED,Finance / Insurance / Service Contracts,2025,1,2025-01-01,0.0
1130ED,Finance / Insurance / Service Contracts,2025,2,2025-02-01,0.0
1130ED,Finance / Insurance / Service Contracts,2025,3,2025-03-01,0.0
1130FD,Finance / Insurance / Service Contracts,2025,1,2025-01-01,0.0
1130FD,Finance / Insurance / Service Contracts,2025,2,2025-02-01,0.0
1130FD,Finance / Insurance / Service Contracts,2025,3,2025-03-01,0.0
1140AD,"Serv., Parts & Body Shop - Customers",2025,1,2025-01-01,90037.16666666667
1140AD,"Serv., Parts & Body Shop - Customers",2025,2,2025-02-01,89750.58333333333
1140AD,"Serv., Parts & Body Shop - Customers",2025,3,2025-03-01,89464.0
1140BD,Serv. Parts & Body Shop - Customers,2025,1,2025-01-01,25495.5
1140BD,Serv. Parts & Body Shop - Customers,2025,2,2025-02-01,24675.25
1140BD,Serv. Parts & Body Shop - Customers,2025,3,2025-03-01,23855.0
1140CD,Serv. Parts & Body Shop - Customers,2025,1,2025-01-01,8074.333333333334
1140CD,Serv. Parts & Body Shop - Customers,2025,2,2025-02-01,7772.583333333334
1140CD,Serv. Parts & Body Shop - Customers,2025,3,2025-03-01,7470.833333333334
1140D,"Service, Parts & Body Shop - Customers",2025,1,2025-01-01,90037.08333333333
1140D,"Service, Parts & Body Shop - Customers",2025,2,2025-02-01,89750.33333333333
1140D,"Service, Parts & Body Shop - Customers",2025,3,2025-03-01,89463.58333333333
1140DD,"Service, Parts & Body Shop - Customers",2025,1,2025-01-01,4704.166666666666
1140DD,"Service, Parts & Body Shop - Customers",2025,2,2025-02-01,5187.0
1140DD,"Service, Parts & Body Shop - Customers",2025,3,2025-03-01,5669.833333333333
1140DOT,Over 30 days,2025,1,2025-01-01,0.0
1140DOT,Over 30 days,2025,2,2025-02-01,0.0
1140DOT,Over 30 days,2025,3,2025-03-01,0.0
1140ED,"Service, Parts & Body Shop - Customers",2025,1,2025-01-01,51763.16666666667
1140ED,"Service, Parts & Body Shop - Customers",2025,2,2025-02-01,52115.75
1140ED,"Service, Parts & Body Shop - Customers",2025,3,2025-03-01,52468.333333333336
1140FD,"Service, Parts & Body Shop - Customers",2025,1,2025-01-01,0.0
1140FD,"Service, Parts & Body Shop - Customers",2025,2,2025-02-01,0.0
1140FD,"Service, Parts & Body Shop - Customers",2025,3,2025-03-01,0.0
11750D,Land - Auto Bus Only,2025,1,2025-01-01,0.0
11750D,Land - Auto Bus Only,2025,2,2025-02-01,0.0
11750D,Land - Auto Bus Only,2025,3,2025-03-01,0.0
11770D,"Buildings & 
Improvements",2025,1,2025-01-01,21599.083333333336
11770D,"Buildings & 
Improvements",2025,2,2025-02-01,19286.0
11770D,"Buildings & 
Improvements",2025,3,2025-03-01,16972.916666666668
11790D,Equip. M/S,2025,1,2025-01-01,61508.5
11790D,Equip. M/S,2025,2,2025-02-01,62257.91666666667
11790D,Equip. M/S,2025,3,2025-03-01,63007.333333333336
11810D,Equip. P/A,2025,1,2025-01-01,8314.333333333332
11810D,Equip. P/A,2025,2,2025-02-01,7996.999999999999
11810D,Equip. P/A,2025,3,2025-03-01,7679.666666666666
11830D,"Furniture & 
Fixtures",2025,1,2025-01-01,53628.75
11830D,"Furniture & 
Fixtures",2025,2,2025-02-01,51744.75
11830D,"Furniture & 
Fixtures",2025,3,2025-03-01,49860.75
11850D,Co. Veh.,2025,1,2025-01-01,3736.5833333333335
11850D,Co. Veh.,2025,2,2025-02-01,5427.75
11850D,Co. Veh.,2025,3,2025-03-01,7118.916666666667
11870D,Leasehold,2025,1,2025-01-01,10666.666666666666
11870D,Leasehold,2025,2,2025-02-01,16000.0
11870D,Leasehold,2025,3,2025-03-01,21333.333333333332
11890D,Other,2025,1,2025-01-01,15569.333333333332
11890D,Other,2025,2,2025-02-01,17337.0
11890D,Other,2025,3,2025-03-01,19104.666666666664
12000CD,SUB-TOTAL SELLING EXPS. (LINES 5 THRU 15),2025,1,2025-01-01,0.0
12000CD,SUB-TOTAL SELLING EXPS. (LINES 5 THRU 15),2025,2,2025-02-01,0.0
12000CD,SUB-TOTAL SELLING EXPS. (LINES 5 THRU 15),2025,3,2025-03-01,0.0
1200AD,Other Factory Rec. / Incentives - Mit.,2025,1,2025-01-01,97852.08333333333
1200AD,Other Factory Rec. / Incentives - Mit.,2025,2,2025-02-01,101789.58333333333
1200AD,Other Factory Rec. / Incentives - Mit.,2025,3,2025-03-01,105727.08333333333
1200BD,Other Factory Rec. / Incentives - Mitsubishi,2025,1,2025-01-01,97852.08333333333
1200BD,Other Factory Rec. / Incentives - Mitsubishi,2025,2,2025-02-01,101789.58333333333
1200BD,Other Factory Rec. / Incentives - Mitsubishi,2025,3,2025-03-01,105727.08333333333
1200CD,Other Factory Rec. / Incentives - Mitsubishi,2025,1,2025-01-01,0.0
1200CD,Other Factory Rec. / Incentives - Mitsubishi,2025,2,2025-02-01,0.0
1200CD,Other Factory Rec. / Incentives - Mitsubishi,2025,3,2025-03-01,0.0
1200D,Other Factory Rec. / Incentives - Mitsubishi,2025,1,2025-01-01,97852.08333333333
1200D,Other Factory Rec. / Incentives - Mitsubishi,2025,2,2025-02-01,101789.58333333333
1200D,Other Factory Rec. / Incentives - Mitsubishi,2025,3,2025-03-01,105727.08333333333
1200DD,Other Factory Rec. / Incentives - Mitsubishi,2025,1,2025-01-01,0.0
1200DD,Other Factory Rec. / Incentives - Mitsubishi,2025,2,2025-02-01,0.0
1200DD,Other Factory Rec. / Incentives - Mitsubishi,2025,3,2025-03-01,0.0
1200ED,Other Factory Rec. / Incentives - Mitsubishi,2025,1,2025-01-01,0.0
1200ED,Other Factory Rec. / Incentives - Mitsubishi,2025,2,2025-02-01,0.0
1200ED,Other Factory Rec. / Incentives - Mitsubishi,2025,3,2025-03-01,0.0
1200FD,Other Factory Rec. / Incentives - Mitsubishi,2025,1,2025-01-01,0.0
1200FD,Other Factory Rec. / Incentives - Mitsubishi,2025,2,2025-02-01,0.0
1200FD,Other Factory Rec. / Incentives - Mitsubishi,2025,3,2025-03-01,0.0
1220AD,Receivables Floor Plan Credits,2025,1,2025-01-01,0.0
1220AD,Receivables Floor Plan Credits,2025,2,2025-02-01,0.0
1220AD,Receivables Floor Plan Credits,2025,3,2025-03-01,0.0
1220BD,Receivables Floor Plan Credits,2025,1,2025-01-01,0.0
1220BD,Receivables Floor Plan Credits,2025,2,2025-02-01,0.0
1220BD,Receivables Floor Plan Credits,2025,3,2025-03-01,0.0
1220CD,Receivables Floor Plan Credits,2025,1,2025-01-01,0.0
1220CD,Receivables Floor Plan Credits,2025,2,2025-02-01,0.0
1220CD,Receivables Floor Plan Credits,2025,3,2025-03-01,0.0
1220D,Receivable - Floor Plan Credits,2025,1,2025-01-01,0.0
1220D,Receivable - Floor Plan Credits,2025,2,2025-02-01,0.0
1220D,Receivable - Floor Plan Credits,2025,3,2025-03-01,0.0
1220DD,Rec. Floor Plan Credits,2025,1,2025-01-01,0.0
1220DD,Rec. Floor Plan Credits,2025,2,2025-02-01,0.0
1220DD,Rec. Floor Plan Credits,2025,3,2025-03-01,0.0
1220ED,Rec. Floor Plan Credits,2025,1,2025-01-01,0.0
1220ED,Rec. Floor Plan Credits,2025,2,2025-02-01,0.0
1220ED,Rec. Floor Plan Credits,2025,3,2025-03-01,0.0
1220FD,Rec. Floor Plan Credits,2025,1,2025-01-01,0.0
1220FD,Rec. Floor Plan Credits,2025,2,2025-02-01,0.0
1220FD,Rec. Floor Plan Credits,2025,3,2025-03-01,0.0
1230AD,Sales Incentives Retail / Fleet,2025,1,2025-01-01,0.0
1230AD,Sales Incentives Retail / Fleet,2025,2,2025-02-01,0.0
1230AD,Sales Incentives Retail / Fleet,2025,3,2025-03-01,0.0
1230BD,Sales Incentives Retail / Fleet,2025,1,2025-01-01,0.0
1230BD,Sales Incentives Retail / Fleet,2025,2,2025-02-01,0.0
1230BD,Sales Incentives Retail / Fleet,2025,3,2025-03-01,0.0
1230CD,Sales Incentives Retail / Fleet,2025,1,2025-01-01,0.0
1230CD,Sales Incentives Retail / Fleet,2025,2,2025-02-01,0.0
1230CD,Sales Incentives Retail / Fleet,2025,3,2025-03-01,0.0
1230D,Sales Incentive - Retail,2025,1,2025-01-01,0.0
1230D,Sales Incentive - Retail,2025,2,2025-02-01,0.0
1230D,Sales Incentive - Retail,2025,3,2025-03-01,0.0
1230DD,Sales Incentives Retail / Fleet,2025,1,2025-01-01,0.0
1230DD,Sales Incentives Retail / Fleet,2025,2,2025-02-01,0.0
1230DD,Sales Incentives Retail / Fleet,2025,3,2025-03-01,0.0
1230ED,Sales Incentives Retail / Fleet,2025,1,2025-01-01,0.0
1230ED,Sales Incentives Retail / Fleet,2025,2,2025-02-01,0.0
1230ED,Sales Incentives Retail / Fleet,2025,3,2025-03-01,0.0
1230FD,Sales Incentives Retail / Fleet,2025,1,2025-01-01,0.0
1230FD,Sales Incentives Retail / Fleet,2025,2,2025-02-01,0.0
1230FD,Sales Incentives Retail / Fleet,2025,3,2025-03-01,0.0
1240D,Sales Incentive - Fleet,2025,1,2025-01-01,0.0
1240D,Sales Incentive - Fleet,2025,2,2025-02-01,0.0
1240D,Sales Incentive - Fleet,2025,3,2025-03-01,0.0
1260D,Pre-Delivery - Mitsubishi,2025,1,2025-01-01,0.0
1260D,Pre-Delivery - Mitsubishi,2025,2,2025-02-01,0.0
1260D,Pre-Delivery - Mitsubishi,2025,3,2025-03-01,0.0
1280AD,Warranty Rec. / P.D.I. - Mitsubishi,2025,1,2025-01-01,43834.0
1280AD,Warranty Rec. / P.D.I. - Mitsubishi,2025,2,2025-02-01,44595.66666666667
1280AD,Warranty Rec. / P.D.I. - Mitsubishi,2025,3,2025-03-01,45357.333333333336
1280BD,Warranty Rec. / P.D.I. - Mitsubishi,2025,1,2025-01-01,3828.0
1280BD,Warranty Rec. / P.D.I. - Mitsubishi,2025,2,2025-02-01,4006.166666666667
1280BD,Warranty Rec. / P.D.I. - Mitsubishi,2025,3,2025-03-01,4184.333333333334
1280CD,Warranty Rec. / P.D.I. - Mitsubishi,2025,1,2025-01-01,883.0833333333334
1280CD,Warranty Rec. / P.D.I. - Mitsubishi,2025,2,2025-02-01,1041.6666666666667
1280CD,Warranty Rec. / P.D.I. - Mitsubishi,2025,3,2025-03-01,1200.25
1280D,Warranty Receivables - Mitsubishi,2025,1,2025-01-01,43834.25
1280D,Warranty Receivables - Mitsubishi,2025,2,2025-02-01,44595.91666666667
1280D,Warranty Receivables - Mitsubishi,2025,3,2025-03-01,45357.583333333336
1280DD,Warranty Rec. / P.D.I. - Mitsubishi,2025,1,2025-01-01,666.1666666666666
1280DD,Warranty Rec. / P.D.I. - Mitsubishi,2025,2,2025-02-01,722.6666666666666
1280DD,Warranty Rec. / P.D.I. - Mitsubishi,2025,3,2025-03-01,779.1666666666666
1280DOF,Over 45 days,2025,1,2025-01-01,0.0
1280DOF,Over 45 days,2025,2,2025-02-01,0.0
1280DOF,Over 45 days,2025,3,2025-03-01,0.0
1280ED,Warranty Rec. / P.D.I. - Mitsubishi,2025,1,2025-01-01,38456.75
1280ED,Warranty Rec. / P.D.I. - Mitsubishi,2025,2,2025-02-01,38825.16666666667
1280ED,Warranty Rec. / P.D.I. - Mitsubishi,2025,3,2025-03-01,39193.583333333336
1280FD,Warranty Rec. / P.D.I. - Mitsubishi,2025,1,2025-01-01,0.0
1280FD,Warranty Rec. / P.D.I. - Mitsubishi,2025,2,2025-02-01,0.0
1280FD,Warranty Rec. / P.D.I. - Mitsubishi,2025,3,2025-03-01,0.0
1285D,Warranty Receivables - Other,2025,1,2025-01-01,0.0
1285D,Warranty Receivables - Other,2025,2,2025-02-01,0.0
1285D,Warranty Receivables - Other,2025,3,2025-03-01,0.0
1285DOF,Over 45 days,2025,1,2025-01-01,0.0
1285DOF,Over 45 days,2025,2,2025-02-01,0.0
1285DOF,Over 45 days,2025,3,2025-03-01,0.0
13000AD,SUB-TOTAL PERSONNEL EXPENSES (LINES 17 THRU 26),2025,1,2025-01-01,31498.916666666668
13000AD,SUB-TOTAL PERSONNEL EXPENSES (LINES 17 THRU 26),2025,2,2025-02-01,34243.583333333336
13000AD,SUB-TOTAL PERSONNEL EXPENSES (LINES 17 THRU 26),2025,3,2025-03-01,36988.25
13000BD,SUB-TOTAL PERSONNEL EXPENSES (LINES 17 THRU 26),2025,1,2025-01-01,13899.166666666666
13000BD,SUB-TOTAL PERSONNEL EXPENSES (LINES 17 THRU 26),2025,2,2025-02-01,13900.416666666666
13000BD,SUB-TOTAL PERSONNEL EXPENSES (LINES 17 THRU 26),2025,3,2025-03-01,13901.666666666666
13000CD,"SUB-TOTAL PERSONNEL EXPENSES  (LINES 17
THRU 26)",2025,1,2025-01-01,41304.833333333336
13000CD,"SUB-TOTAL PERSONNEL EXPENSES  (LINES 17
THRU 26)",2025,2,2025-02-01,41202.583333333336
13000CD,"SUB-TOTAL PERSONNEL EXPENSES  (LINES 17
THRU 26)",2025,3,2025-03-01,41100.333333333336
13000D,"SUB-TOTAL PERSONNEL EXPENSES (LINES 17
THRU 26)",2025,1,2025-01-01,103569.83333333333
13000D,"SUB-TOTAL PERSONNEL EXPENSES (LINES 17
THRU 26)",2025,2,2025-02-01,106676.83333333333
13000D,"SUB-TOTAL PERSONNEL EXPENSES (LINES 17
THRU 26)",2025,3,2025-03-01,109783.83333333333
13000DD,SUB-TOTAL PERSONNEL EXPENSES (LINES 17 THRU 26),2025,1,2025-01-01,16866.916666666664
13000DD,SUB-TOTAL PERSONNEL EXPENSES (LINES 17 THRU 26),2025,2,2025-02-01,17330.25
13000DD,SUB-TOTAL PERSONNEL EXPENSES (LINES 17 THRU 26),2025,3,2025-03-01,17793.583333333332
13000ED,SUB-TOTAL PERSONNEL EXPENSES (LINES 17 THRU 26),2025,1,2025-01-01,0.0
13000ED,SUB-TOTAL PERSONNEL EXPENSES (LINES 17 THRU 26),2025,2,2025-02-01,0.0
13000ED,SUB-TOTAL PERSONNEL EXPENSES (LINES 17 THRU 26),2025,3,2025-03-01,0.0
14000AD,TOTAL SEMI FIXED EXPENSE (LINES 28 THRU 48),2025,1,2025-01-01,16899.5
14000AD,TOTAL SEMI FIXED EXPENSE (LINES 28 THRU 48),2025,2,2025-02-01,15870.083333333334
14000AD,TOTAL SEMI FIXED EXPENSE (LINES 28 THRU 48),2025,3,2025-03-01,14840.666666666668
14000BD,TOTAL SEMI FIXED EXPENSE (LINES 28 THRU 48),2025,1,2025-01-01,13625.833333333334
14000BD,TOTAL SEMI FIXED EXPENSE (LINES 28 THRU 48),2025,2,2025-02-01,13021.333333333334
14000BD,TOTAL SEMI FIXED EXPENSE (LINES 28 THRU 48),2025,3,2025-03-01,12416.833333333334
14000CD,TOTAL SEMI-FIXED EXPENSES  (LINES 28 THRU 48),2025,1,2025-01-01,11876.916666666666
14000CD,TOTAL SEMI-FIXED EXPENSES  (LINES 28 THRU 48),2025,2,2025-02-01,10886.416666666666
14000CD,TOTAL SEMI-FIXED EXPENSES  (LINES 28 THRU 48),2025,3,2025-03-01,9895.916666666666
14000D,TOTAL SEMI FIXED EXPENSE (LINES 28 THRU 48),2025,1,2025-01-01,46160.91666666667
14000D,TOTAL SEMI FIXED EXPENSE (LINES 28 THRU 48),2025,2,2025-02-01,43140.25
14000D,TOTAL SEMI FIXED EXPENSE (LINES 28 THRU 48),2025,3,2025-03-01,40119.583333333336
14000DD,TOTAL SEMI-FIXED EXPENSES (LINES 28 THRU 48),2025,1,2025-01-01,3758.666666666667
14000DD,TOTAL SEMI-FIXED EXPENSES (LINES 28 THRU 48),2025,2,2025-02-01,3362.416666666667
14000DD,TOTAL SEMI-FIXED EXPENSES (LINES 28 THRU 48),2025,3,2025-03-01,2966.166666666667
14000ED,TOTAL SEMI-FIXED EXPENSES (LINES 28 THRU 48),2025,1,2025-01-01,0.0
14000ED,TOTAL SEMI-FIXED EXPENSES (LINES 28 THRU 48),2025,2,2025-02-01,0.0
14000ED,TOTAL SEMI-FIXED EXPENSES (LINES 28 THRU 48),2025,3,2025-03-01,0.0
1400D,New Car - Mitsubishi,2025,1,2025-01-01,50187.833333333336
1400D,New Car - Mitsubishi,2025,2,2025-02-01,58366.166666666664
1400D,New Car - Mitsubishi,2025,3,2025-03-01,66544.5
1400MCU,( Mirage ),2025,1,2025-01-01,2.5
1400MCU,( Mirage ),2025,2,2025-02-01,2.916666666666667
1400MCU,( Mirage ),2025,3,2025-03-01,3.3333333333333335
1420D,New SUV - Mitsubishi,2025,1,2025-01-01,3259526.3333333335
1420D,New SUV - Mitsubishi,2025,2,2025-02-01,3446726.9166666665
1420D,New SUV - Mitsubishi,2025,3,2025-03-01,3633927.5
1420OTU,"(
Outlander
)",2025,1,2025-01-01,19.5
1420OTU,"(
Outlander
)",2025,2,2025-02-01,20.25
1420OTU,"(
Outlander
)",2025,3,2025-03-01,21.0
1420PTU,"(
Out.
PHEV
)",2025,1,2025-01-01,31.166666666666664
1420PTU,"(
Out.
PHEV
)",2025,2,2025-02-01,33.75
1420PTU,"(
Out.
PHEV
)",2025,3,2025-03-01,36.33333333333333
1420QTU,"(
Eclipse
Cross
)",2025,1,2025-01-01,11.916666666666666
1420QTU,"(
Eclipse
Cross
)",2025,2,2025-02-01,12.333333333333334
1420QTU,"(
Eclipse
Cross
)",2025,3,2025-03-01,12.75
1420RTU,"(
RVR
 )",2025,1,2025-01-01,8.083333333333334
1420RTU,"(
RVR
 )",2025,2,2025-02-01,8.166666666666666
1420RTU,"(
RVR
 )",2025,3,2025-03-01,8.25
1430CU,"(
Cars
 )",2025,1,2025-01-01,0.0
1430CU,"(
Cars
 )",2025,2,2025-02-01,0.0
1430CU,"(
Cars
 )",2025,3,2025-03-01,0.0
1430D,New Vehicles - Other Makes,2025,1,2025-01-01,0.0
